,state,energy type,class,curvature,DD at lowest energy use,DDmax,DDmin,energy use at highest DD,energy use at lowest DD,lowest energy use
1,Alabama,NG,1,0.00E+00,4.142309797,4.085659551,0,-15.06563917,0,-15.06563917
2,Arizona,NG,2,0.00E+00,0,0,0,-7.710627989,-31.35090577,-7.760636594
3,Arkansas,NG,3,0.00E+00,-6.519430761,0,0,-2.515549377,-13.61253633,-3.772060863
4,California,NG,3,0.00E+00,-5.256157635,0,0,-8.575470868,-46.44489374,-10.32292242
5,Colorado,NG,4,0.00E+00,0,2.307881773,0,-9.292604434,-28.56975981,-11.71930543
6,Connecticut,NG,5,9.04E-05,2.90530925,3.089490969,0,-13.83417391,0,-13.83045755
7,Delaware,NG,6,0.00E+00,0,0,0,0,19.31359896,0
8,Florida,NG,7,5.45E-05,0,0,0,-2.854626773,18.72869972,-3.481177803
9,Georgia,NG,8,-2.22E-05,0,0,0,-0.745971852,-1.612974365,-0.574841373
10,Idaho,NG,9,-3.96E-05,-1.888888889,0,0,-3.098364233,-28.19091606,-3.991438166
11,Illinois,NG,10,8.54E-05,0,0,0,5.264869337,65.49482024,5.071999119
12,Indiana,NG,2,0.00E+00,0,0,0,-11.39968041,-61.765934,-11.41785365
13,Iowa,NG,2,0.00E+00,0,0,0,-8.540293791,-39.96212936,-8.757766785
14,Kansas,NG,2,0.00E+00,0,0,0,-7.55898644,-49.864118,-7.559921851
15,Kentucky,NG,3,0.00E+00,-3.625889436,0,0,-9.365364145,-64.1899994,-10.81421227
16,Louisiana,NG,8,-3.09E-05,0,0,0,-6.258904544,-38.10009628,-6.541677247
17,Maine,NG,3,0.00E+00,-3.571154899,0,0,-8.813914638,-34.33692569,-8.833460257
18,Maryland,NG,10,5.49E-06,0,0,0,0.402253251,9.49725814,0.402253251
19,Massachusetts,NG,11,3.94E-05,-3.176792556,0,0,-6.651988916,0,-7.39389071
20,Michigan,NG,12,0.00E+00,0,0,0,0,0,0
21,Minnesota,NG,13,0.00E+00,0,0,0,-13.84449027,0,-13.84449027
22,Mississippi,NG,14,2.55E-05,0,0,0,-7.828392713,0,-7.828392713
23,Missouri,NG,13,0.00E+00,0,0,0,-5.252636926,0,-5.483624429
24,Montana,NG,2,0.00E+00,0,0,0,-8.737287584,-58.06136828,-9.608239152
25,Nebraska,NG,14,5.97E-05,0,0,0,-8.317189203,0,-8.317189203
26,Nevada,NG,2,0.00E+00,0,0,0,-9.062957057,-61.91175136,-9.388117891
27,New Hampshire,NG,15,8.51E-05,-7.085659551,0,4.699507389,2.668988279,0,0
28,New Jersey,NG,5,1.34E-05,4.224137931,4.317186645,0,-1.057651333,0,-1.057651333
29,New Mexico,NG,16,5.72E-05,0,0,0,0,34.9672702,-2.475777139
30,New York,NG,2,0.00E+00,0,0,0,-6.296332093,-22.43112339,-3.921166791
31,North Carolina,NG,17,5.43E-05,0,0,0,0,29.91386258,0
32,North Dakota,NG,18,4.90E-05,-4.871100164,0,0,0,17.0550927,-0.999888726
33,Ohio,NG,19,4.22E-05,0,0,7.858237548,-5.863790147,0,-5.863790147
34,Oklahoma,NG,13,0.00E+00,0,0,0,-11.09510082,0,-11.09510082
35,Oregon,NG,3,0.00E+00,-5.361247947,0,0,-6.416648929,-44.29946321,-9.812037779
36,Pennsylvania,NG,17,9.85E-05,0,0,0,0,23.065563,0
37,Rhode Island,NG,13,0.00E+00,0,0,0,-7.713058261,0,-7.806632442
38,South Carolina,NG,13,0.00E+00,0,0,0,-6.95806941,0,-7.316849187
39,South Dakota,NG,20,0.00E+00,-5.109742748,0,0,0,0,0
40,Tennessee,NG,14,4.61E-05,0,0,0,-4.573561974,0,-4.5755745
41,Texas,NG,21,0.00E+00,0,0,0,0,0,-2.643642509
42,Utah,NG,2,0.00E+00,0,0,0,-10.07067945,-35.6434337,-11.43440961
43,Vermont,NG,14,5.79E-05,0,0,0,-5.218721645,0,-6.013056751
44,Virginia,NG,10,1.03E-05,0,0,0,1.654715704,14.57830077,1.654715704
45,Washington,NG,16,3.17E-05,0,0,0,0,19.89254047,-1.46732856
46,West Virginia,NG,17,6.54E-05,0,0,0,0,21.5970601,0
47,Wisconsin,NG,2,0.00E+00,0,0,0,-8.674009285,-28.3971263,-8.674009285
48,Wyoming,NG,14,3.09E-05,0,0,0,-5.787359373,0,-5.787359373
