,state,energy type,curvature,DD at lowest energy use,DDmax,DDmin,energy use at highest DD,energy use at lowest DD,lowest energy use
1,Alabama,NG,3.44E-05,4.142309797,4.085659551,2.642857143,-15.06563917,-14.72733915,-15.06563917
2,Arizona,NG,-7.49E-06,-2.349753695,1.257525999,0.081280788,-7.710627989,-31.35090577,-7.760636594
3,Arkansas,NG,2.13E-06,-6.519430761,-1.512862616,-1.421182266,-2.515549377,-13.61253633,-3.772060863
4,California,NG,1.43E-05,-5.256157635,0.991789819,0.921182266,-8.575470868,-46.44489374,-10.32292242
5,Colorado,NG,1.77E-05,-2.201696771,2.307881773,2.03256705,-9.292604434,-28.56975981,-11.71930543
6,Connecticut,NG,9.04E-05,2.90530925,3.089490969,3.3727422,-13.83417391,-7.329887184,-13.83045755
7,Delaware,NG,2.15E-05,1.469622332,2.433223864,0.12014231,-1.414523457,19.31359896,-1.54644442
8,Florida,NG,5.45E-05,-2.691297209,0.402846196,-2.676245211,-2.854626773,18.72869972,-3.481177803
9,Georgia,NG,-2.22E-05,1.731253421,-0.035851122,-3.016967707,-0.745971852,-1.612974365,-0.574841373
10,Idaho,NG,-3.96E-05,-1.888888889,0.701696771,-0.98166393,-3.098364233,-28.19091606,-3.991438166
11,Illinois,NG,8.54E-05,1.753147236,2.785714286,1.581828134,5.264869337,65.49482024,5.071999119
12,Indiana,NG,-6.24E-06,0.206896552,0.793103448,-0.5651341,-11.39968041,-61.765934,-11.41785365
13,Iowa,NG,1.09E-05,-0.1863711,0.609195402,-1.734811166,-8.540293791,-39.96212936,-8.757766785
14,Kansas,NG,2.98E-05,0.977832512,1.493431856,2.141215107,-7.55898644,-49.864118,-7.559921851
15,Kentucky,NG,4.94E-05,-3.625889436,1.329775588,2.47755884,-9.365364145,-64.1899994,-10.81421227
16,Louisiana,NG,-3.09E-05,-0.896551724,0.082922824,-2.712917351,-6.258904544,-38.10009628,-6.541677247
17,Maine,NG,-4.65E-05,-3.571154899,0.318007663,-0.709906951,-8.813914638,-34.33692569,-8.833460257
18,Maryland,NG,5.49E-06,0.53256705,0.53256705,2.877120963,0.402253251,9.49725814,0.402253251
19,Massachusetts,NG,3.94E-05,-3.176792556,0.139573071,-2.481937603,-6.651988916,13.67918643,-7.39389071
20,Michigan,NG,4.73E-05,1.267378216,1.85030104,0.53667214,-3.360054164,19.51748002,-3.443364301
21,Minnesota,NG,1.51E-05,1.170224412,1.188834154,-1.853037767,-13.84449027,-19.34326758,-13.84449027
22,Mississippi,NG,2.55E-05,2.643404488,2.643404488,2.417350848,-7.828392713,-17.99336534,-7.828392713
23,Missouri,NG,1.97E-06,-1.883962781,1.368363437,-0.044882321,-5.252636926,-10.92136574,-5.483624429
24,Montana,NG,1.39E-05,-1.893267652,1.332512315,1.634920635,-8.737287584,-58.06136828,-9.608239152
25,Nebraska,NG,5.97E-05,3.673782157,3.673782157,3.681992337,-8.317189203,-8.861133717,-8.317189203
26,Nevada,NG,5.29E-05,0.43076081,1.871100164,4.568965517,-9.062957057,-61.91175136,-9.388117891
27,New Hampshire,NG,8.51E-05,-7.085659551,2.287082649,4.699507389,2.668988279,7.873256098,-1.981283699
28,New Jersey,NG,1.34E-05,4.224137931,4.317186645,1.483032293,-1.057651333,4.851666026,-1.057651333
29,New Mexico,NG,5.72E-05,-0.261083744,1.607827039,-2.130268199,-2.007235694,34.9672702,-2.475777139
30,New York,NG,-1.14E-06,1.618773946,1.528461959,2.975369458,-6.296332093,-22.43112339,-3.921166791
31,North Carolina,NG,5.43E-05,-0.418719212,0.092501368,-0.726327313,-2.972336087,29.91386258,-3.210414924
32,North Dakota,NG,4.90E-05,-4.871100164,0.634646962,-1.478927203,0.269626506,17.0550927,-0.999888726
33,Ohio,NG,4.22E-05,2.084291188,2.084291188,7.858237548,-5.863790147,1.940810974,-5.863790147
34,Oklahoma,NG,8.53E-06,1.006294472,1.480569239,-1.786808976,-11.09510082,-25.17911264,-11.09510082
35,Oregon,NG,4.27E-05,-5.361247947,1.533388068,1.098522167,-6.416648929,-44.29946321,-9.812037779
36,Pennsylvania,NG,9.85E-05,-1.455938697,0.73316913,-0.805966065,1.148077392,23.065563,0.460520442
37,Rhode Island,NG,6.37E-06,0.228516694,1.172687466,-3.038861522,-7.713058261,-10.28948192,-7.806632442
38,South Carolina,NG,4.66E-05,0.978106185,2.391899288,0.74438971,-6.95806941,14.34377533,-7.316849187
39,South Dakota,NG,2.36E-05,-5.109742748,-0.046524357,-1.69759168,0.174144489,3.652751968,-0.77576489
40,Tennessee,NG,4.61E-05,3.081007115,3.215106732,5.322660099,-4.573561974,-4.465732364,-4.5755745
41,Texas,NG,1.73E-05,-2.708264915,0.379310345,-2.888888889,-1.601813887,8.589852347,-2.643642509
42,Utah,NG,-3.42E-05,-1.415161467,1.348385331,0.322386426,-10.07067945,-35.6434337,-11.43440961
43,Vermont,NG,5.79E-05,-0.512041598,2.807060755,1.742474001,-5.218721645,-9.579940073,-6.013056751
44,Virginia,NG,1.03E-05,0.368363437,0.434044882,0.83607006,1.654715704,14.57830077,1.654715704
45,Washington,NG,3.17E-05,-1.051997811,1.602627258,-1.785714286,-0.96155418,19.89254047,-1.46732856
46,West Virginia,NG,6.54E-05,-0.137657362,-0.030103996,-0.475643131,0.457980813,21.5970601,0.455056268
47,Wisconsin,NG,-1.72E-05,-0.252326218,-0.252326218,-4.325670498,-8.674009285,-28.3971263,-8.674009285
48,Wyoming,NG,3.09E-05,1.778872469,1.909140668,-0.588396278,-5.787359373,0.838675808,-5.787359373
